;200;244,9489743;450;519,6152423;583,0951895;1303,840481;1805,547009;1802,775638;5100;5103,920062;5204,805472;5410,406639;5224,940191;5423,098745;5360,037313;787,4007874;4640,043103;1667,3332
200;;141,4213562;350;331,662479;424,2640687;1104,536102;1702,938637;1700;5103,920062;5100;5200,96145;5403,008421;5209,606511;5408,326913;5315,072906;648,0740698;4618,441296;1516,575089
244,9489743;141,4213562;;229,1287847;300;374,1657387;1104,536102;1788,854382;1791,647287;5004,997502;5000,9999;5100;5301,179114;5108,81591;5309,425581;5218,23725;748,3314774;4522,167622;1476,482306
450;350;229,1287847;;287,2281323;250;1030,776406;1803,46888;1817,278185;4811,70448;4803,384224;4901,275344;5100;4904,334817;5106,123774;5003,248944;890,2246907;4317,696145;1300,961183
519,6152423;331,662479;300;287,2281323;;223,6067977;806,2257748;1676,305461;1679,285562;5025,932749;5009,99002;5108,81591;5304,007919;5100;5300,943312;5163,332257;640,3124237;4505,55213;1268,857754
583,0951895;424,2640687;374,1657387;250;223,6067977;;824,6211251;1593,737745;1609,347694;4825,971405;4809,365863;4910,193479;5106,123774;4901,020302;5100;4964,876635;812,4038405;4302,324953;1104,536102
1303,840481;1104,536102;1104,536102;1030,776406;806,2257748;824,6211251;;1529,705854;1532,970972;5166,236541;5119,570294;5218,23725;5395,600059;5163,332257;5360,037313;5100;927,3618495;4555,21679;948,6832981
1805,547009;1702,938637;1788,854382;1803,46888;1676,305461;1593,737745;1529,705854;;100;5315,072906;5281,098371;5404,627647;5594,863716;5368,426213;5530,822724;5324,471805;1574,801575;4729,693436;1529,705854
1802,775638;1700;1791,647287;1817,278185;1679,285562;1609,347694;1532,970972;100;;5409,251335;5375,872022;5499,090834;5689,683647;5463,515352;5626,721959;5420,332093;1539,480432;4824,935233;1590,597372
5100;5103,920062;5004,997502;4811,70448;5025,932749;4825,971405;5166,236541;5315,072906;5409,251335;;200;244,9489743;450;519,6152423;583,0951895;1303,840481;5632,938842;787,4007874;4311,612227
5103,920062;5100;5000,9999;4803,384224;5009,99002;4809,365863;5119,570294;5281,098371;5375,872022;200;;141,4213562;350;331,662479;424,2640687;1104,536102;5615,158057;648,0740698;4255,584566
5204,805472;5200,96145;5100;4901,275344;5108,81591;4910,193479;5218,23725;5404,627647;5499,090834;244,9489743;141,4213562;;229,1287847;300;374,1657387;1104,536102;5717,516944;748,3314774;4360,045871
5410,406639;5403,008421;5301,179114;5100;5304,007919;5106,123774;5395,600059;5594,863716;5689,683647;450;350;229,1287847;;287,2281323;250;1030,776406;5912,909605;890,2246907;4534,589287
5224,940191;5209,606511;5108,81591;4904,334817;5100;4901,020302;5163,332257;5368,426213;5463,515352;519,6152423;331,662479;300;287,2281323;;223,6067977;806,2257748;5704,384279;640,3124237;4294,182111
5423,098745;5408,326913;5309,425581;5106,123774;5300,943312;5100;5360,037313;5530,822724;5626,721959;583,0951895;424,2640687;374,1657387;250;223,6067977;;824,6211251;5901,694672;812,4038405;4482,186966
5360,037313;5315,072906;5218,23725;5003,248944;5163,332257;4964,876635;5100;5324,471805;5420,332093;1303,840481;1104,536102;1104,536102;1030,776406;806,2257748;824,6211251;;5743,692192;927,3618495;4210,700654
787,4007874;648,0740698;748,3314774;890,2246907;640,3124237;812,4038405;927,3618495;1574,801575;1539,480432;5632,938842;5615,158057;5717,516944;5912,909605;5704,384279;5901,694672;5743,692192;;5100;1667,3332
4640,043103;4618,441296;4522,167622;4317,696145;4505,55213;4302,324953;4555,21679;4729,693436;4824,935233;787,4007874;648,0740698;748,3314774;890,2246907;640,3124237;812,4038405;927,3618495;5100;;3672,873534
1667,3332;1516,575089;1476,482306;1300,961183;1268,857754;1104,536102;948,6832981;1529,705854;1590,597372;4311,612227;4255,584566;4360,045871;4534,589287;4294,182111;4482,186966;4210,700654;1667,3332;3672,873534;
